item_id,product_name,product_line,product_group,brand,department,category,sub_category
20,Tester - Ambre Oud Scent 100Ml,Oud Intense 4,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Counter_Display
21,Rose Citrus Eau De Toilette 100Ml,Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
22,Vanilla Jasmin Eau De Toilette 50Ml,Oud Intense 4,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Counter_Display
23,Tester - Rose Sandalwood Scent 100Ml,Oud Intense 4,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Counter_Display
24,Vanilla Musk Eau De Toilette 100Ml (Batch 2385),Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
25,Vanilla Musk Eau De Toilette 100Ml (Batch 2570),Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
26,Golden Sandalwood Eau De Toilette 100Ml,Ocean Breeze 7,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Counter_Display
27,Rose Jasmin Eau De Parfum 100Ml,Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
28,Golden Jasmin Eau De Parfum 100Ml,Ocean Breeze 7,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Counter_Display
29,Rose Oud Eau De Toilette 50Ml (Batch 2172),Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
30,Golden Musk Eau De Parfum 100Ml,Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
31,Vanilla Sandalwood Eau De Parfum 50Ml,Ocean Breeze 7,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Counter_Display
32,Velvet Musk Eau De Toilette 50Ml,Ocean Breeze 7,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Counter_Display
33,Royal Musk Eau De Toilette 100Ml,Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
34,Savage Citrus Eau De Parfum 50Ml,Ocean Breeze 7,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Counter_Display
35,Tester - Savage Oud Scent 100Ml,Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Sampling_Vial
36,Mystic Musk Eau De Toilette 100Ml,Ocean Breeze 7,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Counter_Display
37,Ambre Citrus Eau De Toilette 100Ml,Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
38,Rose Sandalwood Eau De Parfum 50Ml,Ocean Breeze 8,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Shower_Gel
39,Rose Musk Eau De Toilette 50Ml,Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
40,Savage Musk Eau De Parfum 50Ml,Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
41,Vanilla Sandalwood Eau De Parfum 100Ml,Oud Intense 9,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
42,Imperial Sandalwood Eau De Toilette 100Ml,Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
43,Rose Jasmin Eau De Toilette 100Ml,Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
44,Rose Sandalwood Eau De Toilette 100Ml,Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
45,Rose Sandalwood Eau De Toilette 50Ml,Noir Series 6,Prestige Global Alliance,Beck London,Body Care,Body Lotion,Sampling_Vial
46,Imperial Citrus Eau De Toilette 100Ml,Oud Intense 10,Prestige Global Alliance,Beck London,Body Care,Product Testers,Sampling_Vial
47,Golden Oud Eau De Toilette 50Ml,Oud Intense 10,Prestige Global Alliance,Beck London,Body Care,Product Testers,Sampling_Vial
48,Vanilla Citrus Eau De Parfum 50Ml,Oud Intense 10,Prestige Global Alliance,Beck London,Body Care,Product Testers,Sampling_Vial
49,Golden Oud Eau De Toilette 100Ml,Oud Intense 10,Prestige Global Alliance,Beck London,Body Care,Product Testers,Sampling_Vial
50,Imperial Sandalwood Eau De Toilette 50Ml,Oud Intense 10,Prestige Global Alliance,Beck London,Body Care,Product Testers,Sampling_Vial
51,Tester - Vanilla Sandalwood Scent 100Ml,Oud Intense 10,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Sampling_Vial
52,Golden Oud Eau De Toilette 50Ml (Batch 3480),Oud Intense 10,Prestige Global Alliance,Beck London,Body Care,Product Testers,Sampling_Vial
53,Savage Jasmin Eau De Toilette 50Ml (Batch 5805),Oud Intense 10,Prestige Global Alliance,Beck London,Body Care,Product Testers,Sampling_Vial
54,Savage Citrus Eau De Toilette 50Ml,Oud Intense 10,Prestige Global Alliance,Beck London,Body Care,Product Testers,Sampling_Vial
55,Royal Jasmin Eau De Parfum 100Ml,Oud Intense 10,Prestige Global Alliance,Beck London,Body Care,Product Testers,Sampling_Vial
56,Golden Citrus Eau De Parfum 50Ml,Oud Intense 10,Prestige Global Alliance,Beck London,Body Care,Product Testers,Sampling_Vial
57,Mystic Citrus Eau De Toilette 100Ml,Oud Intense 10,Prestige Global Alliance,Beck London,Body Care,Product Testers,Sampling_Vial
58,Savage Musk Eau De Parfum 100Ml,Oud Intense 9,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
59,Mystic Sandalwood Eau De Parfum 100Ml (Batch 2628),Ocean Breeze 11,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
60,Mystic Citrus Eau De Toilette 50Ml,Private Blend 12,Prestige Global Alliance,Beck London,Body Care,Product Testers,Eau_De_Parfum
61,Rose Musk Eau De Parfum 50Ml,Ocean Breeze 11,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
62,Imperial Citrus Eau De Toilette 100Ml (Batch 2845),Private Blend 12,Prestige Global Alliance,Beck London,Body Care,Product Testers,Eau_De_Parfum
63,Royal Musk Eau De Parfum 100Ml,Ocean Breeze 11,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
64,Rose Oud Eau De Toilette 50Ml (Batch 1854),Private Blend 12,Prestige Global Alliance,Beck London,Body Care,Product Testers,Eau_De_Parfum
65,Imperial Oud Eau De Toilette 50Ml,Private Blend 12,Prestige Global Alliance,Beck London,Body Care,Product Testers,Eau_De_Parfum
66,Savage Musk Eau De Parfum 50Ml (Batch 7959),Velvet Petals 13,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
67,Ambre Citrus Eau De Toilette 50Ml,Private Blend 12,Prestige Global Alliance,Beck London,Body Care,Product Testers,Eau_De_Parfum
68,Tester - Savage Citrus Scent 100Ml,Velvet Petals 13,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
69,Tester - Savage Oud Scent 100Ml (Batch 8016),Private Blend 12,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Parfum
70,Royal Musk Eau De Toilette 100Ml (Batch 9060),Velvet Petals 13,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
71,Velvet Musk Eau De Parfum 100Ml,Velvet Petals 13,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
72,Tester - Velvet Musk Scent 100Ml,Private Blend 12,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Parfum
73,Royal Citrus Eau De Parfum 50Ml,Private Blend 12,Prestige Global Alliance,Beck London,Body Care,Product Testers,Eau_De_Parfum
74,Royal Sandalwood Eau De Toilette 100Ml (Batch 1948),Gold Collection 14,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Parfum
75,Savage Oud Eau De Parfum 50Ml,Gold Collection 14,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Parfum
76,Mystic Jasmin Eau De Toilette 100Ml,Private Blend 12,Prestige Global Alliance,Beck London,Body Care,Product Testers,Eau_De_Parfum
77,Golden Jasmin Eau De Parfum 50Ml,Gold Collection 14,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Parfum
78,Tester - Mystic Musk Scent 100Ml,Private Blend 12,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Parfum
79,Velvet Oud Eau De Parfum 50Ml,Gold Collection 14,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Parfum
80,Tester - Mystic Citrus Scent 100Ml,Private Blend 12,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Parfum
81,Velvet Oud Eau De Parfum 50Ml (Batch 8952),Velvet Petals 15,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
82,Vanilla Citrus Eau De Parfum 50Ml (Batch 1077),Private Blend 12,Prestige Global Alliance,Beck London,Body Care,Product Testers,Eau_De_Parfum
83,Imperial Citrus Eau De Toilette 50Ml,Velvet Petals 16,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Parfum
84,Tester - Ambre Jasmin Scent 100Ml,Private Blend 12,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Parfum
85,Velvet Citrus Eau De Parfum 100Ml,Private Blend 17,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
86,Rose Oud Eau De Toilette 50Ml (Batch 9398),Private Blend 12,Prestige Global Alliance,Beck London,Body Care,Product Testers,Eau_De_Parfum
87,Golden Oud Eau De Toilette 50Ml (Batch 7058),Private Blend 17,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
88,Velvet Citrus Eau De Parfum 100Ml (Batch 1061),Private Blend 17,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
89,Mystic Jasmin Eau De Toilette 50Ml,Ocean Breeze 18,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Parfum
90,Tester - Royal Jasmin Scent 100Ml,Ocean Breeze 18,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Parfum
91,Rose Jasmin Eau De Toilette 50Ml,Private Blend 17,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
92,Golden Oud Eau De Toilette 50Ml (Batch 5780),Ocean Breeze 19,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Parfum
93,Mystic Citrus Eau De Parfum 100Ml,Ocean Breeze 19,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Parfum
94,Vanilla Sandalwood Eau De Toilette 50Ml,Private Blend 20,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Parfum
95,Vanilla Jasmin Eau De Toilette 50Ml (Batch 1992),Private Blend 20,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Parfum
96,Ambre Sandalwood Eau De Parfum 100Ml,Gold Collection 21,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
97,Golden Musk Eau De Toilette 100Ml,Gold Collection 21,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
98,Velvet Citrus Eau De Parfum 100Ml (Batch 6799),Gold Collection 21,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
99,Tester - Golden Jasmin Scent 100Ml,Gold Collection 21,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
100,Mystic Musk Eau De Parfum 50Ml,Gold Collection 21,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
101,Royal Sandalwood Eau De Parfum 100Ml,Gold Collection 21,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
102,Savage Musk Eau De Toilette 100Ml,Gold Collection 21,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
103,Tester - Golden Jasmin Scent 100Ml (Batch 9119),Gold Collection 21,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
104,Vanilla Oud Eau De Toilette 100Ml,Ocean Breeze 22,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Parfum
105,Imperial Sandalwood Eau De Parfum 100Ml,Private Blend 23,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Body_Lotion
106,Tester - Royal Jasmin Scent 100Ml (Batch 9657),Private Blend 23,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Body_Lotion
107,Savage Jasmin Eau De Toilette 100Ml,Private Blend 23,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Body_Lotion
108,Ambre Oud Eau De Parfum 100Ml,Private Blend 17,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
109,Rose Jasmin Eau De Parfum 50Ml,Velvet Petals 24,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
110,Tester - Royal Oud Scent 100Ml,Velvet Petals 24,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
111,Imperial Oud Eau De Parfum 50Ml,Velvet Petals 24,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
112,Rose Citrus Eau De Parfum 100Ml,Velvet Petals 24,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
113,Velvet Citrus Eau De Parfum 100Ml (Batch 1187),Velvet Petals 24,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
114,Vanilla Musk Eau De Toilette 50Ml,Velvet Petals 24,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
115,Mystic Sandalwood Eau De Parfum 100Ml (Batch 3667),Velvet Petals 24,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
116,Vanilla Sandalwood Eau De Parfum 50Ml (Batch 9264),Velvet Petals 24,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
117,Ambre Jasmin Eau De Toilette 100Ml,Velvet Petals 24,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
118,Imperial Oud Eau De Toilette 100Ml,Velvet Petals 24,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
119,Savage Musk Eau De Toilette 50Ml,Velvet Petals 24,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
120,Golden Musk Eau De Toilette 50Ml,Gold Collection 25,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
121,Imperial Sandalwood Eau De Parfum 50Ml,Gold Collection 25,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
122,Royal Citrus Eau De Toilette 100Ml,Gold Collection 25,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Toilette
123,Imperial Musk Eau De Toilette 50Ml,Velvet Petals 26,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Parfum
124,Royal Oud Eau De Toilette 100Ml,Velvet Petals 26,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Parfum
125,Vanilla Musk Eau De Toilette 50Ml (Batch 3924),Velvet Petals 27,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Parfum
126,Golden Oud Eau De Toilette 100Ml (Batch 1694),Ocean Breeze 28,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Parfum
127,Royal Citrus Eau De Toilette 100Ml (Batch 2312),Ocean Breeze 28,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Parfum
128,Vanilla Oud Eau De Toilette 100Ml (Batch 1578),Ocean Breeze 28,Prestige Global Alliance,Beck London,Body Care,Unisex Fragrances,Eau_De_Parfum
129,Ambre Citrus Eau De Toilette 100Ml (Batch 1366),Private Blend 17,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
130,Savage Jasmin Eau De Parfum 100Ml,Oud Intense 9,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
131,Rose Oud Eau De Parfum 50Ml,Private Blend 17,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
132,Mystic Oud Eau De Parfum 100Ml,Private Blend 17,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
133,Tester - Mystic Oud Scent 100Ml,Private Blend 17,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
134,Mystic Oud Eau De Toilette 50Ml (Batch 3821),Private Blend 17,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
135,Velvet Citrus Eau De Parfum 100Ml (Batch 9622),Private Blend 17,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
136,Tester - Velvet Musk Scent 100Ml (Batch 1724),Private Blend 17,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
137,Royal Jasmin Eau De Toilette 100Ml,Private Blend 17,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
138,Mystic Citrus Eau De Toilette 50Ml (Batch 3174),Private Blend 17,Prestige Global Alliance,Beck London,Body Care,Promo_Plv,Eau_De_Toilette
139,Tester - Ambre Sandalwood Scent 100Ml,Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Promo_Plv,Shower_Gel
141,Golden Oud Eau De Parfum 50Ml,Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
142,Royal Musk Eau De Toilette 50Ml,Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
143,Rose Musk Eau De Toilette 100Ml,Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
144,Imperial Oud Eau De Parfum 100Ml,Velvet Petals 30,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Body_Lotion
145,Vanilla Jasmin Eau De Parfum 50Ml,Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
146,Savage Jasmin Eau De Toilette 50Ml (Batch 9629),Velvet Petals 30,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Body_Lotion
147,Vanilla Jasmin Eau De Toilette 50Ml (Batch 1067),Velvet Petals 30,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Body_Lotion
148,Vanilla Sandalwood Eau De Parfum 100Ml (Batch 3081),Velvet Petals 30,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Body_Lotion
149,Rose Jasmin Eau De Parfum 100Ml (Batch 4775),Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
150,Tester - Vanilla Sandalwood Scent 100Ml (Batch 1436),Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Promo_Plv,Counter_Display
151,Velvet Musk Eau De Toilette 50Ml (Batch 9374),Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
152,Imperial Sandalwood Eau De Toilette 100Ml (Batch 8023),Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
153,Savage Musk Eau De Parfum 100Ml (Batch 4938),Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
154,Mystic Jasmin Eau De Toilette 100Ml (Batch 2137),Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
155,Royal Oud Eau De Toilette 50Ml,Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
156,Savage Citrus Eau De Toilette 100Ml,Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
157,Ambre Oud Eau De Toilette 50Ml,Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
158,Golden Citrus Eau De Parfum 50Ml (Batch 9201),Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
159,Savage Jasmin Eau De Parfum 100Ml (Batch 4129),Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
160,Imperial Oud Eau De Parfum 100Ml (Batch 2573),Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
161,Golden Oud Eau De Toilette 50Ml (Batch 9235),Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
162,Ambre Citrus Eau De Parfum 50Ml,Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
163,Imperial Musk Eau De Parfum 100Ml,Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
164,Vanilla Oud Eau De Parfum 50Ml,Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
165,Imperial Citrus Eau De Toilette 50Ml (Batch 4271),Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
166,Golden Oud Eau De Toilette 100Ml (Batch 8925),Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
167,Velvet Oud Eau De Toilette 50Ml (Batch 9928),Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
168,Imperial Musk Eau De Toilette 50Ml (Batch 9605),Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
169,Golden Citrus Eau De Parfum 50Ml (Batch 6517),Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
170,Golden Musk Eau De Toilette 50Ml (Batch 2566),Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
171,Rose Musk Eau De Parfum 100Ml,Gold Collection 31,Prestige Global Alliance,Atelier Perez,Body Care,Men Fragrance,Counter_Display
172,Golden Sandalwood Eau De Toilette 100Ml (Batch 2811),Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
173,Velvet Jasmin Eau De Toilette 100Ml,Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
174,Savage Citrus Eau De Parfum 100Ml (Batch 9352),Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
175,Tester - Rose Sandalwood Scent 100Ml (Batch 3083),Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Promo_Plv,Shower_Gel
176,Tester - Golden Sandalwood Scent 100Ml,Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Promo_Plv,Shower_Gel
177,Mystic Musk Eau De Parfum 100Ml,Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
178,Savage Sandalwood Eau De Toilette 100Ml,Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
179,Rose Oud Eau De Parfum 100Ml,Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
180,Imperial Citrus Eau De Parfum 100Ml,Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
181,Royal Oud Eau De Toilette 50Ml (Batch 3491),Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
182,Golden Jasmin Eau De Parfum 50Ml (Batch 5095),Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
183,Ambre Sandalwood Eau De Toilette 100Ml,Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
184,Tester - Rose Jasmin Scent 100Ml,Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Promo_Plv,Shower_Gel
185,Ambre Jasmin Eau De Parfum 50Ml,Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
186,Tester - Rose Citrus Scent 100Ml,Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Promo_Plv,Shower_Gel
187,Royal Oud Eau De Parfum 100Ml (Batch 5154),Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
188,Vanilla Sandalwood Eau De Toilette 50Ml (Batch 1449),Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
189,Velvet Musk Eau De Parfum 50Ml,Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Product Testers,Shower_Gel
190,Tester - Vanilla Sandalwood Scent 100Ml (Batch 7521),Oud Intense 29,Prestige Global Alliance,Atelier Perez,Body Care,Promo_Plv,Shower_Gel
